OID;Id;Skirtymas;Tipai_SP;Ilgiai
-1;0;Dviračių takas;Dviračių takas;0,335491115497000
-1;0;Dviračių takas;Dviračių takas;0,247468280899000
-1;0;Rekreacinis takas;Žaliakelis;0,146244829762000
-1;0;Rekreacinis takas;Žaliakelis;1,076397640030000
-1;0;Rekreacinis takas;Žaliakelis;3,366024787500000
-1;0; ;Dviračių takas;1,921239293560000
-1;0;Dviračių takas;Dviračių takas;0,739587753431000
-1;0;Dviračių takas;Dviračių takas;2,219679158980000
-1;0;Dviračių takas;Dviračių takas;1,105276459200000
-1;0; ;E gatve;2,812051913170000
-1;0; ;Esamas dviračių takas;0,927451453807000
-1;0; ;Esamas dviračių takas;4,520065730230000
-1;0; ;Esamas dviračių takas;4,202316777960000
-1;0; ;Esamas dviračių takas;6,137190794600000
-1;0; ;Esamas dviračių takas;7,057124532830000
-1;0; ;Esamas dviračių takas;1,788230271270000
-1;0; ;Esamas dviračių takas;3,423141537270000
-1;0; ;Esamas dviračių takas;1,784075845470000
-1;0; ;Esamas dviračių takas;6,236551151450000
-1;0; ;Esamas dviračių takas;0,441262435320000
-1;0; ;Esamas dviračių takas;0,135824875459000
-1;0; ;Esamas dviračių takas;0,120888299996000
-1;0; ;Esamas dviračių takas;4,988416135610000
-1;0; ;Esamas dviračių takas;3,354250702450000
-1;0; ;Esamas dviračių takas;0,449227646471000
-1;0; ;Esamas dviračių takas;1,114572745220000
-1;0; ;Esamas dviračių takas;0,239210469299000
-1;0; ;Esamas dviračių takas;1,105686440540000
-1;0; ;Esamas dviračių takas;0,799155789078000
-1;0; ;Esamas dviračių takas;0,540240672263000
-1;0; ;Esamas dviračių takas;1,779713941320000
-1;0; ;Esamas dviračių takas;0,553776728799000
-1;0; ;Esamas dviračių takas;0,420162859940000
-1;0; ;Esamas dviračių takas;5,435065916370000
-1;0; ;Esamas dviračių takas;0,600021644469000
-1;0; ;Esamas dviračių takas;1,513376467180000
-1;0; ;Esamas dviračių takas;0,813312373310000
-1;0; ;Esamas dviračių takas;2,476107957600000
-1;0; ;Esamas dviračių takas;0,517252552321000
-1;0; ;Esamas dviračių takas;0,226350839926000
-1;0; ;Esamas dviračių takas;0,355025439401000
-1;0; ;Esamas dviračių takas;6,642807191060000
-1;0; ;Esamas dviračių takas;1,734482277750000
-1;0; ;Esamas dviračių takas;2,277490789910000
-1;0;Dviračių takas;Esamas dviračių takas;2,807768775080000
-1;0; ;Esamas dviračių takas;0,885292498020000
-1;0;Dviračių takas;Esamas dviračių takas;1,273334984970000
-1;0;Dviračių takas;Dviračių takas;2,478459218810000
-1;0; ;Esamas dviračių takas;0,159730139617000
-1;0; ;Žaliakelis;1,665095102400000
-1;0; ;Žaliakelis;0,604130842490000
-1;0; ;Žaliakelis;1,755779539030000
-1;0;Dviračių takas;Dviračių takas;0,111980070148000
-1;0;Dviračių takas;Dviračių takas;0,201014126423000
-1;0; ;Esamas dviračių takas;0,694251947122000
-1;0; ;Esamas dviračių takas;0,753484692379000
-1;0;Dviračių takas;Dviračių takas;0,413582392576000
-1;0;Dviračių takas;Esamas dviračių takas;1,475195559040000
-1;0; ;Esamas dviračių takas;0,411760944201000
-1;0;Dviračių takas;Esamas dviračių takas;0,728416250815000
-1;0;E kategorijos g.;Esamas dviračių takas;0,769419049733000
-1;0;Dviračių takas;Esamas dviračių takas;1,352365352190000
-1;0; ;Esamas dviračių takas;1,182808260970000
-1;0;Dviračių takas;Dviračių takas;1,421560059490000
-1;0; ;Esamas dviračių takas;1,726447413800000
-1;0; ;Esamas dviračių takas;0,261914746598000
