OID;Budas;Name_1;SymbolID_1;Laikotarpis;Įvykiai;Žuvusieji;Sužeistieji;IP;Atlikimo_data;Aprašymas;Planuojama
-1;Juodosios dėmės ruožuose 2016;Tunelio g.;0;2012 - 2015 ;8;1;8;TAIP;2016;; Atnaujintas pėsčiųjų perėjos kryptinis apšvietimas. Planuojama įrengti didesnio sukibimo dangą prieš pėsčiųjų perėja. Ruože įrengti greičio matuoklį. (IV ketvirtis)
-1;Juodosios dėmės sankryžose 2016;Baltų ir Žiemgalių;0;2012 - 2015 ;4;0;4;TAIP;2016;Įrengta žiedinė sankryža.;
-1;Juodosios dėmės sankryžose 2016;Baltijos g. ir Žiemgalių g.;0;2012 - 2015 ;4;0;4;TAIP;2016;Didesnio atspindžio perėjos kelių eismo ženklai, saugumo salelė gatvės viduryje.; Įrengtinį kryptinis perėjos apšvietimą.
-1;Juodosios dėmės sankryžose 2016;Jurbarko g. ir Vidurinė g.;0;2012 - 2015 ;5;0;5;TAIP;2016; Įrengtas horizonatalus ženklinimas korys, pagerintas matomumas perėjoje.;Įrengta saugumo salelė 
-1;Juodosios dėmės sankryžose 2016;Jurbarko ir Brastos g.;0;2012 - 2015 ;4;1;3;TAIP;2016;Pakeisti šviesoforo šviesos šaltiniai į LED, įrengti trūkstami pėsčiųjų šviesoforai, atitvarai samkryžos zonoje.;
-1;Juodosios dėmės sankryžose 2016;Veiverių ir Pievų g.;0;2012 - 2015 ;4;0;4;TAIP;2016;;Įrengta pėsčiųjų saugumo salelė važiuojamosios dalies viduryje.
-1;Juodosios dėmės sankryžose 2016;Baltijos g. ir Žemaičių g.;0;2012 - 2015 ;4;0;4;TAIP;2016;Pakeisti šviesoforo šviesos šaltiniai į LED, pakeistas šviesoforo valdymas, atskirti eismo srautai, organizuojant saugius kairiuosius posūkius.;
-1;Juodosios dėmės sankryžose 2016;Panerių g. ir Varnių g.;0;2012 - 2015 ;4;0;10;TAIP;2016;Nėra pasikartojančių eismo įvykių priežasčių. Juodoji dėmė stebima.;Šviesoforo šviesos šaltiniai pakeisti į LED. Pakeistas šviesoforo valdiklis. Sukoordinuotas su kitomis Varnių g. įrengtomis pėsčiųjų perėjomis.
-1;Juodosios dėmės sankryžose 2016;Žemaičių pl. ir Žaibo g.;0;2012 - 2015 ;6;0;6;TAIP;2016;; Įrengta reguliuojama pėsčiųjų perėja
-1;Juodosios dėmės sankryžose 2016;Jonavos g. ir Jurbarko g.;0;2012 - 2015 ;5;0;6;TAIP;2016;Įrengti didesnio atspindžio pirmumo ženklai sankryžoje;Įrengta eismo srautus skirianti skiriamoji juosta-saugumo salelė
-1;Juodosios dėmės sankryžose 2016;Varnių g. ir K. Griniaus g.;0;2012 - 2015 ;5;0;6;TAIP;2016;; Įrengta reguliuojama pėsčiųjų perėja.
-1;Juodosios dėmės sankryžose 2016;Kuršių g. ir Jotvingių g.;0;2012 - 2015 ;6;0;7;TAIP;2016;Pakeistas šviesoforo valdymas, atskirti eismo srautai, organizuojant saugius kairiuosius posūkius.;
-1;Juodosios dėmės sankryžose 2016;Karaliaus Mindaugo ir Maironio g.;0;2012 - 2015 ;4;0;6;TAIP;2016;Įrengta reguliuojama sankryža.;
