OID;GYV_KODAS;GTV_KODAS;GTV_PAV;GTV_PAV_PI;GYV_ID;GTV_ID;GTV_R;GTV_RK;GTV_ATR_KO;GAT_KODAS;SHAPE_STLength__
-1;17507;16214;Naujoji g.;Naujoji g.;6;4815;1998-06-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1243095;345,283012476517683
-1;17507;29306;S. Šimkaus g.;S. Šimkaus g.;6;7375;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1436935;146,109781289627534
-1;17507;28332;A. Škėmos g.;A. Škėmos g.;6;7415;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1183096;375,542897190005704
-1;17507;28329;I. Šeiniaus g.;I. Šeiniaus g.;6;7185;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1837714;277,144061191287676
-1;17507;16442;J. Petruičio g.;J. Petruičio g.;6;5396;1998-06-01 00:00:00;2003-05-08 00:00:00;2011-07-08 00:00:00;1241532;784,886563187135152
-1;17507;32045;Verbenų tak.;Verbenų tak.;6;8405;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-12-08 00:00:00;1164102;502,284827630061500
-1;17507;31992;Medetkų tak.;Medetkų tak.;6;4371;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1666436;197,695730260609253
-1;17507;29652;A. Baltūsio-Žvejo g.;A. Baltūsio-Žvejo g.;6;615;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1290111;311,021138335797559
-1;17507;28316;A. J. Greimo g.;A. J. Greimo g.;6;2015;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1309236;505,497893880792049
-1;17507;18729;Kreivoji g.;Kreivoji g.;6;3500;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1679504;168,833292417109760
-1;17507;18789;Liudvinavo g.;Liudvinavo g.;6;4100;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1848411;185,600646081734652
-1;17507;19030;Sintautų g.;Sintautų g.;6;6540;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1670951;71,840504803069507
-1;17507;19014;Sasnavos g.;Sasnavos g.;6;6370;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1315238;87,663707170295766
-1;17507;18553;Garliavos tak.;Garliavos tak.;6;1710;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1854576;170,950579066193626
-1;17507;18479;V. Čepinskio g.;V. Čepinskio g.;6;970;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1231516;291,062852672850568
-1;17507;18779;Liepų g.;Liepų g.;6;4000;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1229964;118,863754379114170
-1;17507;18801;Maisto g.;Maisto g.;6;4220;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1230084;412,727791039857323
-1;17507;18984;V. Raubos g.;V. Raubos g.;6;6070;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1444466;161,966871475528450
-1;17507;18811;P. Gudyno g.;P. Gudyno g.;6;4320;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1457113;194,952419886926862
-1;17507;18824;Meteorų g.;Meteorų g.;6;4450;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1679542;118,173064608058169
-1;17507;19286;Žemdirbių g.;Žemdirbių g.;6;9120;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1837164;123,605420785251937
-1;17507;18409;Apnarų g.;Apnarų g.;6;260;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1854485;501,423826213972688
-1;17507;28430;Saulainių g.;Saulainių g.;6;6375;1998-06-01 00:00:00;1998-06-01 00:00:00;2012-09-03 00:00:00;1163527;124,698641546725042
-1;17507;19106;Šilainių pl.;Šilainių pl.;6;7300;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1670545;3178,383956885086263
-1;17507;31037;Adutiškio g.;Adutiškio g.;6;8;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1319654;556,361107083943239
-1;17507;48277;Ristūnų g.;Ristūnų g.;6;6165;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1168131;216,530377890905328
-1;17507;16197;Naujadvario g.;Naujadvario g.;6;4795;1998-06-01 00:00:00;1998-08-03 00:00:00;2011-07-08 00:00:00;1243239;821,166415213278697
-1;17507;31615;Rugių g.;Rugių g.;6;6241;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1672332;295,424004519675862
-1;17507;31902;Palaukės tak.;Palaukės tak.;6;5135;1998-06-01 00:00:00;1998-06-01 00:00:00;2013-01-02 00:00:00;1463301;485,234924617818422
-1;17507;31905;Švendrų tak.;Švendrų tak.;6;7473;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1666398;378,358992579125243
