OID;OBJECTID;OBJEKTAS;PLOTAS;Shape_Leng;Shape_STAr;Shape_STLe
-1;1;Žaliakalnio tikslinė teritorija;7352513,914640000090003;16109,401618199999575;7352513,891601562500000;16109,401618245423379
-1;2;Aleksoto tikslinė teritorija;24769960,174400001764297;34313,265260000000126;24769960,114013671875000;34313,265259988911566
